,title,overview,original_language,release_date,popularity,vote_count,vote_average
115,The Naughty Nine,"Fifth-grader Andy finds himself without a present from Santa on Christmas morning. Realizing he must have landed on the “naughty list” and feeling unfairly maligned, Andy pulls together a team of eight other naughty-listers to help him execute an elaborate heist on Santa’s Village at the North Pole to get the presents they feel they deserve.",en,2023-11-22,137.615,34,6.329
116,Silent Night,"A tormented father witnesses his young son die when caught in a gang's crossfire on Christmas Eve. While recovering from a wound that costs him his voice, he makes vengeance his life's mission and embarks on a punishing training regimen in order to avenge his son's death.",en,2023-11-30,247.282,66,6.3
117,Chicken Run,"The creators of Wallace & Gromit bring you an exciting and original story about a group of chickens determined to fly the coop–even if they can’t fly! It’s hardly poultry in motion when Rocky attempts to teach Ginger and her feathered friends to fly…but, with teamwork, determination and a little bit o’ cluck, the fearless flock plots one last attempt in a spectacular bid for freedom.",en,2000-06-23,155.26,4623,6.775
118,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",en,2024-04-10,151.385,0,0.0
119,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,en,2014-11-05,160.732,33129,8.422
120,Aquaman,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",en,2018-12-07,170.692,13149,6.899
121,NAGA,"Stranded amid Riyadh's desert dunes, Sarah, a local Saudi girl, escapes heartaches and the vengeance of a vigorous camel after discreetly sneaking out of her parent's home for a romantic date that landed her astray.",ar,2023-09-08,170.603,11,5.5
122,Joy Ride,"When Audrey's business trip to Asia goes sideways, she enlists the aid of Lolo, her irreverent, childhood best friend who also happens to be a hot mess; Kat, her college friend turned Chinese soap star; and Deadeye, Lolo's eccentric cousin. Their no-holds-barred, epic experience becomes a journey of bonding, friendship, belonging, and wild debauchery that reveals the universal truth of what it means to know and love who you are.",en,2023-06-22,170.245,210,6.724
123,Stolen Vacation,"After years without a proper vacation, a debt-ridden family heads to San Antonio, Texas, with plans to spend a big wad of cash — if only it was theirs.",es,2023-08-31,169.081,2,7.0
124,Nowhere,"A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.",es,2023-09-29,168.625,959,7.495
125,Hell House LLC Origins: The Carmichael Manor,"A group of cold case investigators stay at the Carmichael Manor, site of the grisly and unsolved murders of the Carmichael family back in the eighties. After four nights, the group was never heard from again. What is discovered on their footage is even more disturbing than anything found on the Hell House tapes.",en,2023-10-24,168.368,45,6.267
126,It's a Wonderful Knife,"Winnie's life is less than wonderful one year after saving her town from a psychotic killer on Christmas Eve. When she wishes she was never born, she finds herself magically transported to a nightmarish parallel universe. With the murderous maniac now back, she must team up with a misfit to identify the culprit and get back to her own reality.",en,2023-11-10,167.983,38,5.2
127,The Little Mermaid,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",en,2023-05-18,167.699,2447,6.469
128,Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.",en,2015-06-09,167.607,19779,7.92
129,Godzilla: King of the Monsters,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",en,2019-05-29,164.887,5599,6.682
130,Aragne: Sign of Vermillion,"A young woman in a decaying apartment complex finds herself seeing worms and moths everywhere, bursting out of beetles, animals, and people, and sets out to find how this is related to a rash of murders across the city.",ja,2018-11-22,164.461,4,3.0
131,May December,"Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under pressure when an actress arrives to do research for a film about their past.",en,2023-11-16,163.923,121,6.769
132,Sonic the Hedgehog 2,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",en,2022-03-30,163.56,4419,7.6
133,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",en,2021-10-13,163.465,8831,7.621
134,Higop,"Noah has been longing for his ex-girlfriend Ysa, who now works in a milk tea shop. As he pursues Ysa again, he learns that the real product they serve are the ladies.",tl,2023-12-15,162.634,1,2.0
135,Priscilla,"When teenage Priscilla Beaulieu meets Elvis Presley at a party, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend.",en,2023-10-27,162.593,66,7.159
136,Teenage Mutant Ninja Turtles,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",en,2014-08-07,162.543,6460,5.905
137,The Mercenary,"When a mission in South America goes wrong a mercenary is left for dead, but he is nursed back to health and reborn with a new outlook on life. But his peaceful days are short-lived when mercenaries he used to work with cross his path again and he is forced to revisit and face his own demons.",en,2020-01-07,161.553,22,6.2
138,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",en,2022-10-19,161.204,5662,6.993
